ticket_id,sku,cantidad,tienda,fecha
T001,SKU001,1,Monterrey,2026-02-03
T001,SKU004,2,Monterrey,2026-02-03
T001,SKU002,3,Monterrey,2026-02-03
T001,SKU020,1,Monterrey,2026-02-03
T002,SKU001,1,Monterrey,2026-02-06
T002,SKU004,3,Monterrey,2026-02-06
T002,SKU026,1,Monterrey,2026-02-06
T003,SKU017,1,Monterrey,2026-02-11
T003,SKU019,4,Monterrey,2026-02-11
T003,SKU021,2,Monterrey,2026-02-11
T004,SKU022,2,Monterrey,2026-02-14
T004,SKU017,1,Monterrey,2026-02-14
T005,SKU003,2,Monterrey,2026-02-19
T005,SKU020,1,Monterrey,2026-02-19
T005,SKU021,2,Monterrey,2026-02-19
T006,SKU004,4,Monterrey,2026-02-24
T006,SKU002,5,Monterrey,2026-02-24
T007,SKU009,3,Monterrey,2026-03-02
T007,SKU019,2,Monterrey,2026-03-02
T008,SKU021,3,Monterrey,2026-03-06
T008,SKU020,2,Monterrey,2026-03-06
T009,SKU001,1,Monterrey,2026-03-11
T009,SKU003,1,Monterrey,2026-03-11
T010,SKU017,1,Monterrey,2026-03-16
T010,SKU018,6,Monterrey,2026-03-16
T011,SKU022,1,Monterrey,2026-03-21
T011,SKU021,1,Monterrey,2026-03-21
T012,SKU007,4,Cancún,2026-02-04
T012,SKU008,2,Cancún,2026-02-04
T013,SKU006,3,Cancún,2026-02-09
T013,SKU014,2,Cancún,2026-02-09
T014,SKU025,2,Cancún,2026-02-13
T014,SKU007,2,Cancún,2026-02-13
T015,SKU011,4,Cancún,2026-02-17
T015,SKU013,2,Cancún,2026-02-17
T016,SKU023,1,Cancún,2026-02-21
T016,SKU028,2,Cancún,2026-02-21
T017,SKU014,3,Cancún,2026-02-26
T017,SKU008,2,Cancún,2026-02-26
T018,SKU007,2,Cancún,2026-03-03
T018,SKU006,2,Cancún,2026-03-03
T019,SKU025,1,Cancún,2026-03-08
T019,SKU013,1,Cancún,2026-03-08
T020,SKU023,1,Cancún,2026-03-13
T020,SKU014,1,Cancún,2026-03-13
T021,SKU008,3,Cancún,2026-03-18
T021,SKU006,2,Cancún,2026-03-18
T022,SKU007,3,Cancún,2026-03-23
T022,SKU012,1,Cancún,2026-03-23
T023,SKU016,3,Chihuahua,2026-02-05
T023,SKU011,2,Chihuahua,2026-02-05
T024,SKU011,4,Chihuahua,2026-02-10
T024,SKU012,2,Chihuahua,2026-02-10
T025,SKU016,2,Chihuahua,2026-02-16
T025,SKU015,3,Chihuahua,2026-02-16
T026,SKU009,2,Chihuahua,2026-02-22
T026,SKU005,4,Chihuahua,2026-02-22
T027,SKU016,2,Chihuahua,2026-02-27
T027,SKU008,1,Chihuahua,2026-02-27
T028,SKU011,3,Chihuahua,2026-03-04
T028,SKU013,2,Chihuahua,2026-03-04
T029,SKU016,1,Chihuahua,2026-03-10
T029,SKU023,1,Chihuahua,2026-03-10
T030,SKU015,2,Chihuahua,2026-03-15
T030,SKU005,3,Chihuahua,2026-03-15
T031,SKU011,2,Chihuahua,2026-03-20
T031,SKU016,2,Chihuahua,2026-03-20
T032,SKU005,3,CDMX,2026-02-02
T032,SKU024,2,CDMX,2026-02-02
T033,SKU010,4,CDMX,2026-02-07
T033,SKU012,2,CDMX,2026-02-07
T034,SKU015,3,CDMX,2026-02-12
T034,SKU017,1,CDMX,2026-02-12
T035,SKU018,5,CDMX,2026-02-18
T035,SKU017,1,CDMX,2026-02-18
T036,SKU005,2,CDMX,2026-02-23
T036,SKU006,1,CDMX,2026-02-23
T037,SKU022,1,CDMX,2026-02-28
T037,SKU019,3,CDMX,2026-02-28
T038,SKU010,3,CDMX,2026-03-05
T038,SKU013,1,CDMX,2026-03-05
T039,SKU024,3,CDMX,2026-03-09
T039,SKU005,4,CDMX,2026-03-09
T040,SKU015,2,CDMX,2026-03-14
T040,SKU009,1,CDMX,2026-03-14
T041,SKU010,2,CDMX,2026-03-19
T041,SKU012,1,CDMX,2026-03-19
T042,SKU022,1,CDMX,2026-03-22
T042,SKU024,1,CDMX,2026-03-22
